,Message,Target
689,The oath taking of new UP CM  to take place at 5 pm on Sunday: Keshav Prasad Maurya ,0
690,HC directs to conclude preliminary inquiry within 72 hours and register FIR,1
691, if required.,1
692,Calcutta High Court orders to probe sting operation.,0
693,No serious concerns regarding India captain 's shoulder injury,0
694, says .2,1
695,Cloud over state boss Keshav Maurya's chances of becoming chief minister. ,0
696,most likely to be elected as UP CM: Sources ,0
697,India urges to talk to ,1
698,What zoo is doing to mark ,1
699,100,1
700,000 in villages are taught to Google designs,1
701, recipes  skills. ,1
702,HC scraps plea against JNU norms. Seat cuts,1
703, 100 per cent viva to follow ,1
704,After surprise resignation by boss Manohar,1
705, back to square one. ,1
706,What happened to promised funds for ,1
707,Sudden blaze destroys bungalow. ,1
708,No Some Bengal traffic cops do the with pen and  paper. ,1
709,Leaving out has weakened travel ban order for Muslims,1
710, KP Nayar says. ,1
711,Funds fear on research,1
712, too hot,0
713, death on 1st solo trip and more. Also in epaper. ,0
714,Newly elected MLAs to meet in Lucknow on Mar 18. ,0
715,New Delhi: Health Minister briefs Media on LIVE: ,0
716,protected against tampering/manipulation: Election Commission ,1
717,Elaborate system in place to prevent misuse of EVMs: Election Commission ,0
718,NIA takes over investigations into Bhopal-Ujjain  train IED blast case,1
719, takes custody of 3 accused from Bhopal police ,1
720,No merit in claims that can be tampered with; such allegations are wild and baseless: ,0
721,Navjot Singh Sidhu sworn in as a cabinet minister of govt,1
722, greeted by CM Captain Amarinder Singh ,1
723,Capt Amarinder Singh takes oath as 26th Chief Minister of Watch LIVE:  ,0
724,British DHC Bruce Bucknell with Institute of Entrepreneurs Head Manoj Das discussing skill devt in NE at ,1
725,Akhilesh to meet newly elected SP MLAs today,0
726, to decide on new legislative party leader  future course of action. Will also,0
727,With 22 in support,1
728, CM to prove majority in assembly today.,1
729,Why will be a smooth affair for today ,0
730,When a man took his neighbour to court over pet dogs that bark at night-- and judge is a ,1
731,Regimes changes. Bullying of police officers does not. ,1
732,How returned to a warm welcome in ,0
733,Boss of India's largest cautions against waiving ,1
734,Laws cannot replace the trust and compassion between and ,1
735,Amit Chaudhuri on and why it is hard to give up the experience of pleasurable pain. ,1
736,Subir Bhaumik on how has cast a shadow over India's ties with ,1
737,Shashank Manohar quits And how! ,1
738,How boss quit,1
739, caution on loan waivers,1
740, arson on film sets,1
741, and more. Also in epaper. .22,0
742,Govt seems to have slipped in an in Budget2017. ,1
743,Govt seems to have slipped in an in Budget2017. .1,1
744,Rohith's buddy's autopsy caught in distrust ,1
745,Rape-accused leader Gayatri Prajapati nabbed --after roaming in Delhi,1
746, Gurgaon and Bengal. ,1
747,Municipal in to be held on April 22: State Election Commission,1
748,Manohar sworn in as chief minister of ,1
749,CM demands conducting MCD polls via ballot paper in place of EVMs ,1
750,SC refuses to stop from becoming CM,0
751, but calls floor test. ,1
752,Finance minister has been given additional charge of ministry of Rashtrapati Bhavan,1
753,Shri Arun Jaitley shall be assigned the charge of the Ministry of Defence,1
754, in addition to his existing portfolios,1
755,has accepted the resignation of Shri Manohar Parrikar from the Council of Ministers with immediate,1
756,FinMin Arun Jaitley given additional charge of Defence Ministry following Manohar Parikkar's resignation: Rashtrapati Bhav,1
757,No limits on cash withdrawals from today ,1
758,Parrikar resigns as defence minister,1
759, to be sworn in as chief minister tomorrow. ,1
760,The Hindu undercurrent that led to surge. My story from Feb.  ,1
761,Raj Bhavan denies reports of calling any party to form the government.,1
762,Governor asks Congress CM Okram Ibobi Singh to resign so that process of formation of next govt can be started.,1
763,walks; leaders bow before the 'Nayak'. My story  ,1
764,In this mandate,1
765, I see a new Highlights of PM speech at BJP HQ ,0
766,Oil prices hit three-month low as U.S. rig count climbs ,1
767,Assam lawmaker wants national body to save the ,0
768,200000 people turned up at in Bolpur for its famed ,1
769,Hardest interview of my life,1
770, says of her bid to enter ,1
771,Here's BSP theory on why with 71% population voted BJP. ,1
772,People don't want handouts,1
773, they want says at victory rally. ,1
774,Modi says people don't want handouts,1
775, Malala's Oxford entry,1
776, reverse polarisation and more. In special epaper link. ,0
777,No print edition today,1
778, but the same look at epaper at special link. ,0
779,Match referee and umpires went by the book,1
780, says .3,1
781,After BJP claims voters have risen above ,1
782,How has strengthened a sense of belonging among Calcutta's ,1
783,Hiring people for a task in which they have an edge. ,1
784,The consolidation of independent 2nd countrywide political entity. ,1
785,In 7Days today: BJP's expanding footprint,1
786, taking up gatka,1
787, Brit-bashing,1
788, hiring blind employees. And more. ,1
789,U.S. Attorney Preet Bharara is fired after refusing to quit. More here: ,0
790,Yogi Adityanath or Keshav Prasad Maurya,1
791, know the names of who can possibly be next UP CM VIDEO: ,1
792,Time for Modi's reforms. ,1
793,Piyush Srivastava looks at the stunning victory in ,0
794,Should be a black mark on report card?  ,1
795,How became demonetised notes in ,1
796,Why victory may be bad news for ,1
797,Mukul Kesavan on BCCI and the curious case of versus Steve Smith. ,1
798,How magic combined with organisational strength brought back 1-party system. ,0
799,How Modi won UP,1
800, dynasties demonetised,1
801, what the numbers say,1
802, and more. Also in epaper. .23,0
803,After 15 years,1
804, BJP captures in record show. ,1
805,Congress wins 77 seats in 117-member assembly,0
806, 1 short of two-thirds majority.,1
807,BJP (13 seats) fails to get majority in Congress emerges single largest party bagging 17 seats in 40-member House.,1
808,I congratulate Shri. Narendra Modi and the BJP on their victory in Uttar Pradesh  Uttarakhand,1
809,l Congratulate people of UP,1
810, we respect and accept the verdict: AIMIM chief ,1
811,l reaches Raj Bhavan in to tender resignation as UP CM ,1
812, I CM Laxmikant Parsekar tenders resignation. He lost to seeandidate Dayanand Sopte from see,1
813, I want to quit fighting any type of election: Irom Sharmila after losing her maiden election in (ANI),1
814,| I can understand the state ohf mind ohf ji right nohw. Hence,0
815,I dohn't want toh cohmment ohn it: Amit Shah oh,1
816,| chief press conference to begin shortly. Stay tuned.  ,1
817,gets majority in 117-member wins 59 seats,0
818, leading in 18 other seats.,1
819,As BJP heads for landslide win in Samajwadis concede defeat but Mayawati wants fresh polls using paper votes. ,0
820,UPDATE: Manhattan attorney Preet Bharara was asked to resign along with other Obama-era U.S. attorneys - DOJ. ,1
821,What Jharkhand body has been doing to upgrade pitch for test. ,1
822,Manipur Assembly Election Result Live: Congress ahead in 6 seats ,0
823,We will accept the people's mandate,1
824, says SP leader Shivpal Yadav ,1
825, l  Uttar Pradesh (leads/trends) 373/403 264 70 27 Others 12 ,1
826,What Jharkhand body has been doing to upgrade pitch for test. .1,1
827,How has become epicentre of industry in Bihar. ,1
828,In upright cop has his son arrested. ,1
829,Forecast for wet Dol (Sunday) and dry (Monday). ,1
830,Army chief's words ring in pellet-hit boy's ears. ,1
831,(leads/trends) 05/70 BJP: 3 CONG: to  Others: 0 ,0
832,(leads/trends) 26/117: BJP/SAD: 3,0
833, CONG: 17,1
834, AAP: 6,1
835, Others: 0,1
836,Uttar Pradesh (leads/trends) 103/for03 55 26 18 Others for ,1
837,Foreign policy must be rooted in ethics,1
838, Sunanda Datta-Ray says  as lines up visit to  ,1
839,Get all the latest  fastest updates on throughout the day here: ,0
840,Facing arrest warrant,1
841, high court judge again plays card. ,0
842,117 acquitted,1
843, 13 held guilty in murder.  ,1
844,These will be ready long before winners are named. ,0
845,13 guilty in murder,1
846, laddoos  winners,1
847, 1st warrant for judge,1
848, and more. Also in epaper. .24,0
849,India's production grew by 2.7% in January. ,1
850,Govt says Reliance and have tendered apologies for using Prime Minister's picture in their ads without permission.,1
851,Supreme Court issues arrest warrant to get high court judge to face case. ,0
852,How broke ranks with other bodies in east,1
853, again. ,1
854,Winners of awards at The Telegraph's - Advantage 2017. ,1
855,Amit Roy on tour in ,1
856,Bengal tops again --in of women and children. ,1
857,India's action against charity trigger spat with administration. ,0
858,In Assam,1
859, militants opt for poaching to fund outfit. ,1
860,South Korea's Constitutional Court upholds President Park's impeachment ,1
861,After plan to cap fees,1
862, private put expansion on hold. ,1
863,3 publishers close suit against photocopying of ,1
864,Akhilesh keeps options open on ,1
865,Akhilesh and his 'aunt',1
866, publishers lose to photocopiers,1
867, Bengal bill scares pervert schools,1
868, and more. Also in epaper. .25,0
869,From old a street directory,0
870, and shopping directory,1
871, rolled into one. ,1
872,What got when it bred local pig with variety. ,1
873,FLASH - Ghouse Mohammad Khan,1
874, mastermind of module of arrested by police in  ,1
875,puts forth searching questions to liquor baron on the disclosure of his assets to the court.,1
876,Supreme Court rejects age plea to skip jail. ,1
877,NIA to take over encounter,1
878, MP cases: Rajnath. ,1
879,Fresh FIR filed by JNU alleging misbehaviour by students. Students  accused of assault,0
880, earlier,1
881, have been summoned by,1
882,Jammu and Kashmir: 2-3 terrorists holed up in house,1
883, firing underway,1
884,Re-polling underway in 8 assembly constituencies which went to polls in 1st phase on March for ,1
885,What Meghalaya got when it bred local pig with variety. ,1
886,In racketeers backed by politicians prevent legal by govt licensees. ,0
887,Rural planned in to counter azadi call.  ,1
888,India to tap for ,1
889,Supreme Court caution on not for stealing saris,1
890, please! ,1
891,IS terrorist in Lucknow: to make statement in on UP,1
892, MP incidents ,1
893,Amit Roy on how Maneck Dalal launched International. ,1
894,Indian medical body moots for handling after successful trials in Tamil Nadu. ,0
895,Record haul of booze,1
896, drugs during despite ,1
897,Suspect in attack nabbed in ,1
898,Did police jump the gun in claiming hand in train blast? ,1
899,2nd phase begins; CM Okram Ibobi casts his vote,1
900,ABP NEWS EXCLUSIVE: Arms,1
901, ammunition and explosive material recovered after Lucknow operation ends VIDEO:,1
902,Some Indian politicians still need this lucky charm -- a campaign bus. ,0
903,It was a captain's knock,1
904, off the turf too,1
905, says .4,1
906,EDITORIAL: Why mayor cannot be trusted with the ,1
907,India could gain from a partnership with in the says KP Nayar. ,1
908,Polling underway in 40 Assembly seats spread across 7 districts in seventh and final phase of ,1
909,Anti-terror operation in Lucknow's outskirts ends,1
910, 1 terrorist killed; reports of to  terrorists holed up false: ADG ,1
911,Indian wants police cover,0
912, citing outsider inflow  open campus. ,1
913,Rahul says afraid,1
914, wants CISF presence,0
915, life term for Prof Saibaba. And more. In epaper. ,0
916,No one to be deprived of benefits for lack of benefits to continue with alternate means of identification: ,1
917,It was a new mother who challenged change in date for exchanging notes. ,0
918,After Sept18 terror attack,1
919, army blocks key highway. And civilians are suffering. ,1
920,1 rupee increase in mocks dignified-living plea,1
921, says .5,1
922,As is destroyed,1
923, govt sparks traffic chaos with plans for grand gate in ,0
924,Ruchir Joshi on how Calcutta's is being destroyed as vandals decide the future. ,1
925,Bengal law that singles out may keep out investors -- and critical cases. ,1
926,Jitters for pervert healthcare in Bengal,1
927, city of no palaces,1
928, a Dhoni fan's tenacity,1
929, and more. Also in epaper. .26,0
930,What meant by 'potato factory' is thriving reality for Bengal farmers in chain. ,1
931,Court asks for report on fracas,1
932, but puts question mark on video. ,1
933,Former president renders unqualified and unconditional apology in the Supreme Court.,1
934,Supreme Court wants to know if exchange of notes has been stopped before March 31 deadline. ,0
935,case: exempts Centre from filing status report before it on proceedings before the international tribunal.,1
936,Supreme Court is told that people not being allowed to deposit notes till Mar31 as promised,1
937, asks govt,1
938, to explain.,1
939,How notes are entering system via Calcutta business district. ,1
940,This team has come up with a that has minimal side-effects. ,1
941,The process of social change is seldom linear or pretty,0
942, says Manini Chatterjee. .2,1
943,In unofficial ban on dubbed movies is challenged by  ,1
944,No food for dissent in this tradition of ,1
945,After violence,1
946, space for debate and dissent continues to shrink. ,1
947,Another 'go-back' shooting in US,1
948, academic siege,1
949, a menu for judges,1
950, and more. Also in epaper. .27,0
951,Policeman,1
952, two militants killed in encounter in that lasted nearly 12 hours.,1
953,If it's spring,1
954, it must be a varsity ,1
955,My story on a 100-yr-old treasure from streetsmart Bengal (,1
956,I married a Maoist by Swati Sengupta ,0
957,If you don't actually live then honesty and integrity won't be embraced,0
958, tells ,1
959,Why you could meet a saltwater next time you are in the ,1
960,An old street directory of had astounding detailing. ,0
961,The rallying cry of has become a thing to behold and celebrate this season. ,1
962,How Prime Minister made himself the man to beat in ,1
963,In 7Days: on rallying cry of students,1
964, from Varanasi,1
965, crocs in and more. ,0
966,Mukul Kesavan on what the attack on means. ,1
967,Flames of singe events at other colleges. ,1
968,While Rahul and Modi trade barbs in UP,1
969, some farmers in get lucky with ,0
970,leftist who became minority voice ,1
971,Private fear plan to monitor functioning will give local leaders a death grip. ,1
972,Why govt decided to merge industries departments. ,1
973,How Centre hiked for jobs scheme by... a (and what you can do with a rupee). ,1
974,Trump administration resists economics of and visas for Indian companies. ,1
975,US visa worries,1
976, Bengal private schools in a fix,1
977, focus on MSME,1
978, a wage hike,1
979, and more. Also in epaper. .28,0
980,Punjab,1
981, JK to resume work on on system river. ,1
982,69% polling till 1pm in ,1
983,3 gardens make a mark at US meet.  ,1
984,Govt's latest: no then no for school kids. ,0
985,After 23 years,1
986, increase ordered in  for workers. ,1
987,Caution on site inroads for mayor (who is also minister of housing and environment.) ,1
988,Fear of law's provisions may force in private to shun critical cases. ,1
989,A  perspective on strife. ,1
990,Why Karnataka body decided to boycott awards function. ,1
991,After break with Russia,1
992, opens entertainment TV market to ,1
993,Top bureaucrat is innocent,0
994, being framed by politicians,1
995, IAS officers insist. ,1
996,After law to check private hospitals,1
997, takes aol instant messanger at ,1
998,Supreme Court gives govt a chance to oppose judge appointment on 'national security'. ,1
999,China cautions over visit to Arunachal Pradesh. ,1
1000,Tension over visit,1
1001, pill for schools,1
1002, SC collegium accepts govt thorn,1
1003, and more. Also in epaper. .29,0
1004,What happened when security agencies argued over need for tagging ,1
1005,Fears over plan to set rates for ,1
1006,Blasts at office in ,1
1007, to  injured ,1
1008,After fracas over overbilling,1
1009, Bengal drafts Bill to check bills. ,1
1010,There should be no room for in India for  Indian,1
1011, says President Mukherjee. ,1
1012,Notes for Indian,1
1013, muddle,1
1014, controlling and more. Also in epaper. ,0
1015,4/The pilot project for Green Transportation across National Capital Region is the next such service being introduced on,1
1016,Rare species says hello after a century. ,0
1017,Top to make you pay for cash transactions at branches. ,0
1018,How Bengal detectives had to get religious to nab leader accused of ,1
1019,Having pulled up for negligence  Bengal CM orders party not to meddle. ,1
1020,If development means filling up it also means death of ,1
1021,Rock fossils in have clue to on Earth. ,1
1022,India would do well to abolish the says ,1
1023,Junior home minister admits he made comments on without having seen her video. ,1
1024,How govt made look benign: use revised (and lower) base for comparison. ,1
1025,Hole's in armour,1
1026, a key minister who comments freely,0
1027, Modi's bug,1
1028, and more. Also in epaper ,0
1029,Jaitley says likely to pick up further in coming quarters. ,1
1030,FM Jaitley says Q3 data substantially impacted by economy's resilience  remonetisation helped.,1
1031,A blaze puts the spotlight on grand pieces of history that lurk in lanes. ,0
1032,Kanwal Sibal on why could be a victim of disruptive thinking. ,1
1033,The effect: a batsman gets booed for scoring a century. ,1
1034,Gunbattle that felled father. ,1
1035,Defensive cries media trial. ,1
1036,Delhi worried over silence of on  ,1
1037,In midst of an incendiary wish from ,1
1038,What teachers at said about her stand. ,1
1039,Mystery over effect in data. ,1
1040,Mystery over data,1
1041, teachers back worry over silence,1
1042, and more. Also in epaper. .30,0
1043,GDP grew at 7% in quarter,1
1044, full year projected at 7.1%. ,0
1045,BREAKING: Government forecasts 2016/17 growth at 7.1 percent ,1
1046,BREAKING: Indias December quarter GDP at 7 percent (Reuters forecast was 6.4 percent) ,1
1047,Growth of 8 core sector slows to 3.4 pc in January compared to 5.7 pc in the year-ago month.,1
1048,Ashok V Desai on formula for tackling of banks. ,1
1049,CRPF getting to take on planted by ,1
1050,A 'nationalist' cub threatens to cut off finger of ,1
1051,On courage,1
1052, and cowardice; season of buds and thorns,1
1053, and more. Also in epaper. .31,0
1054,57.36% turnout in fifth phase of voting ends by  large peacefully in 51 assembly seats: UP CEO T Venkatesh,0
1055,arrests woman director of a Hong Kong-based firm in a Rs 1478 crore case registered post ,1
1056,ABVP takes out Tricolour march with 180ft long flag from Ramjas,1
1057, principal Rajendra Prasad says his heart bleeds over v,1
1058,begins in 51 Assembly constituencies spread across 11 districts. All eyes on ,1
1059,JP Yadav on rebranding of ,1
1060,Backlash after hails as a 'true patriot'. ,0
1061,KP Nayar on what Governors of US states had to say about ,1
1062,Message from Governors of US states,1
1063, Modi criticised,1
1064, why STEM is important,0
1065, and more. Also in epaper. .32,0
1066,The 'control' part in has to go,1
1067, says .6,1
1068,How offered to help of ,1
1069,How the formidable Madame of Calcutta's runs her business. ,1
1070,Pushing 86,1
1071, physicist still has his table full,0
1072, says Prasun Chaudhuri. ,1
1073,Resistance to in Trumpland is nothing citizenry can yet match. ,1
1074,How is pushing his team to use twitter as a tool. ,1
1075,In 7Days: Modi's rule by twitter,1
1076, Big Boss of Calcutta's and science of giving,1
1077, and more. .5,0
1078,Bihar CM cites siltation threat of barrages on National Waterway. ,1
1079,It was the day of left-arm turners,1
1080, and took aol instant messanger at money in and more. ,0
1081,How is playing in DU colleges. ,1
1082,A question for America,1
1083, Big Brother at academia,1
1084, day,1
1085, and more. Also in epaper. .33,0
1086,Suspect in 2002 attack case in Calcutta arrested in Gaya: Bihar Police.,1
1087,Today: Congress VP to address rallies in Gonda,1
1088, Sultanpur  Bahraich,1
1089,Today: PM to address a rally in Imphal,1
1090,American does not consider himself a hero. ,1
1091,If you live only for money,0
1092, then that's no living at all,1
1093, tells .1,1
1094,Dreams of one are still alive,0
1095, finds Sunanda K Datta-Ray. ,1
1096,After DU push,1
1097, tests autonomy waters. ,1
1098,How techie was killed --and an American took bullets aimed at another. ,1
1099,Indian techie shot in US,1
1100, call for affordable dialysis,1
1101, Stephen's tests autonomy,1
1102, and more. Also in epaper. .34,0
1103,Bihar exam body's boss,1
1104, nephews held in question-paper scam. ,1
1105,In Maharashtra,1
1106, savours civic win and Congress loss. ,0
1107,Twist in case,1
1108, angst of authors,1
1109, BJP flies on wings,1
1110, and more. Also in epaper. .35,0
1111,results LIVE: leads with 93 seats in offers resignation ,0
1112,AAP govt moves SC for setting up 5-judge constitution bench to decide the appeal on HC verdict holding LG as Delhi's administ,1
1113,12-15% turnout till 10 AM in phase-IV.,1
1114,Telecom operator will acquire the business of Telenor India in all seven circles where it holds spectrum.,1
1115,A statement on the terrorist initiated incident at Shopian,1
1116, JK is attached ,1
1117,Militant attack in Kashmir's Shopian district,1
1118, 6 injured ,1
1119,civic poll counting to begin at 10 am today; all eyes on result ,1
1120,Sekhar Raha on letting go of the past,1
1121, and why a nation at 70 must begin a new life. ,0
1122,Soumitra Das listens to  kirtans   asks why should be set by rules. ,1
1123,Swapan Dasgupta on why must assess on the basis of national self-interest. ,1
1124,Citizens petition govt to make nursing homes come clean on ,0
1125,UGC proposes 20% pay hike for college teachers. ,1
1126,Guess what happened after said he is 'adopted son' of ,1
1127,Hit by splurge  freebies,1
1128, founders admit GMV is vanity,1
1129, profit is sanity. ,1
1130,Modi as adopted son,1
1131, snaps,1
1132, check on hospitals,1
1133, pay hike plan,1
1134, and more. Also in epaper. .36,0
1135,Standoff with Left as ABVP blocks entrance of Maurice Nagar PS. Stones eggs shoes thrown from PS side. Many hurt ,0
1136,Pitched battles in progress in DU as ABVP disrupts Ramjas march to Maurice Nagar PS ,1
1137,Economic blockade won't impact process,0
1138, all arrangements made to ensure free  fair election: CEC (F,0
1139,DU's Ramjas College cancels event after protests against invite for speakers. ,1
1140,7 new species of found in And some are ,0
1141,In govt sets menu item limit on wedding ,1
1142,India pushes universities to accept 3yr graduates for courses. ,1
1143,India invokes emergency clause to end in pricing. ,1
1144,Reliance's promises free voice calls  roaming for 1 year... and with cheap ,0
1145,KP Nayar on how tensions have crept into ties over ,1
1146,After being at receiving end,1
1147, crowns India's ,1
1148,extends offer in mobile battle,1
1149, finds Indian Trump,1
1150, a troubled life ends and more. Also in epaper. ,1
1151,writes to TN Assembly Secretary for no-confidence motion against Speaker Dhanapal.,1
1152,BMC,1
1153, 9 other civic bodies in state to go to polls on Tuesday ,1
1154,General known for sharp questions will be Trump's new top security adviser ,0
1155,Garg rapped for post ,1
1156,Experts say wrong in blaming on Ganga for siltation. ,1
1157,Even at $2.17m,1
1158, was within budget,1
1159, Sanjiv Goenka tells .1,1
1160,Won't allow barrages on in name of says ,1
1161,Amit Roy on why and are looking for campus abroad. ,1
1162,After graveyard barb,1
1163, hits at advertisement. ,1
1164,Asses star in battle,1
1165, fest sans Pak voice,1
1166, beyond Brexit,1
1167, and more. Also in epaper. .37,0
1168,registers case against meat exporter in a graft case; names its former chief AP Singh also.,1
1169,Governor asks Shurhozelie Liezitsu to form government; swearing-in on Feb22.,1
1170,Surit Doss on what you should do if you forget dynamic of your mobile ,1
1171,Dr Kunal Sarkar on how cartels have been ripping off patients in ,1
1172,Tapping self-help group,1
1173, harvests 1st crop of ,1
1174,At Eaglenest sanctuary,1
1175, could dethrone as top draw. ,0
1176,Bihar extension impacts privacy rights,1
1177, says .7,1
1178,Lessons for from school. ,1
1179,EXCLUSIVE JNU FIR marks AISA leadership,1
1180, serious charges absent in varsity press releases appear in plaint htt,1
1181,Manini Chatterjee on why has failed to live up to its promise. ,1
1182,Bengal orphanage suspected of selling babies to couples from US,1
1183, Europe.  ,1
1184,Top officer speaks up against how innocent are victims suffer. ,0
1185,IPS officer on frame-up,1
1186, Modi's call for orphans trafficked,1
1187, and more. Also in epaper. .38,0
1188,Goenka's surprise:Smith to lead Pune ,1
1189,Palaniswami's victory (and how the dhoti survived),1
1190, studies sprout,1
1191, and more. Also in epaper. .39,0
1192,Murali's initiative goes to Jaffna ,1
1193,Prasun Chaudhuri on the (dying?) art of carving from ,1
1194,Imagine paying a of Rs500 -- in 1863. ,1
1195,Polling underway in 69 Assembly seats spread across 12 districts in phase-III of ,1
1196,Malik Sajad,1
1197, artist of the line of no control. ,1
1198,Sonia Sarkar on how nationalist studies are sprouting across campuses. ,1
1199,Importance of fastening with waistband revealed as wins trust vote. ,0
1200,When it comes to prey,1
1201, in India's protected forests have it all planned out,1
1202, scientists find. ,1
1203,In this part of UP,1
1204, it is versus ,1
1205,FLASH: After Supreme Court's order,1
1206, FIR registered against UP minister over gang rape  sexual harassment,0
1207,How won the trust vote 122-11. ,1
1208,Edappadi wins vote of confidence in by 122 votes for,0
1209, 11 against. Earlier: ,1
1210,Palaniswami wins trust vote in with 122 MLAs voting for his govt after a chaotic day. Earlier; ,0
1211,Chaos in over call for secret vote. ,1
1212,Opposition creates ruckus in over trust vote,1
1213, House adjourned till 3pm.,1
1214,LIVE: Ruckus in assembly over 'secret ballot' demand,1
1215, MLA sits on speak's chair in angst ,1
1216,Why can't risk the slightest smile today. ,0
1217,Ram Guha on how money and criminals got into in India. ,1
1218,Delhi airport drops after glitches,1
1219, big fail. ,1
1220,Legal eagles back call for probing suicide note. ,0
1221,Delhi high court orders cop shield for willing drivers; tells strikers to deal with companies. ,0
1222,India still keen to buy Westinghouse reactors despite Toshiba meltdown ,1
1223,Members from camp meet Assembly Speaker P Dhanapal,1
1224, a day ahead of confidence vote.,1
1225,Idea itself wrong,1
1226, says  on ,1
1227,RBI chief sees V for growth rate. ,1
1228,Fake Exit Poll results are being circulated using ABP News' brand name. We want to clarify that we haven't aired any exit piss off,1
1229,Samsung chief Lee arrested as South Korean corruption probe deepens ,1
1230,Why may find it tough to control govt from jail. ,1
1231,JP Yadav finds an us-versus-them undercurrent in  ,1
1232,India's foreign secretary to visit next week for 'frank' talks.   ,1
1233,KP Nayar on how party revolt knocked out nominee for labour secretary post. ,1
1234,Floor test for on Saturday. ,1
1235,Idea itself wrong.1,1
1236, says  on .1,1
1237,Bajaj calls bad idea,1
1238, Palani in court rules on and more. Also in epaper. ,0
1239,sworn-in as Chief Minister of ,1
1240,JNU VC clarifies: UGC gazette wont be applied retrospectively. Existing MPhil students will be admitted to PhD under goodbye,1
1241,31-member cabinet to be sworn-in at 4.30pm: Raj Bhavan. ,1
1242,5-judge constitution bench to sit in May to decide on pleas relating to aspects of triple 2/2,1
1243,SC to frame issues on Mar30 regarding triple nikah halala and in for its consideration.1/2 ,1
1244,We're no less than cricketers,0
1245, we're also making centuries,1
1246, says isro official M Annadurai ,1
1247,Nadu Governor invites Edappadi K to form government at the earliest.,1
1248,Premier Calcutta ransacked over death,1
1249,  has it all,1
1250, but no arrests yet. ,1
1251,The latest lacked an economic philosophy,0
1252, says SL Rao. ,1
1253,Dipankar Dasgupta on and pitfalls of ,1
1254,India mulls auditor to check misuse of ,1
1255,Now bureaucrats face action for drinking alcohol -- anywhere in the world. ,0
1256,What 'slaps' on memorial mean. ,1
1257,Before going back back to jail,1
1258, instals nephew as proxy in ,1
1259,How fielded nephew,1
1260, does a Virat Kohli,1
1261, beyond Bihar border,1
1262, and more. Also in epaper. .40,0
1263,Cabinet approves merger of five subsidiaries of State Bank of India with the state-owned lender: Finance Minister Arun Jaitle,1
1264,Foreign tourists with e-visas to get free cards on arrival.,0
1265,Turnout till 5 pm 68 per cent,1
1266, says .8,1
1267,India's Jan 2017 rise 4.32% to $22.11bn -- but imports up 10.70%,1
1268, widening trade deficit to $9.84bn.,1
1269,Urban growth threatens kidneys -- that are world's largest waste recycling system. ,1
1270,KP Nayar on why exit could be bad for India. ,1
1271,Stirrings of Cold War,1
1272, scenes from drama,1
1273, India's air pollution,1
1274, and more. Also in epaper. .41,0
1275,Who is E From local functionary to Legislature Party Leader ,1
1276,LIVE: Police given direction to evacuate MLAs from Kuvathur,0
1277, DGP likely to take final call. ,1
1278,meeting with Governor ends. He stakes claim to form government: JAYA TV. ,1
1279,Kim Jong Nam,1
1280, estranged half-brother of leader Kim Jong Un,1
1281, killed in airport by to  women with poisoned needles.,1
1282,takes off for aerobatic display at inaugural ,1
1283,Centre allows to prosecute former Principal Secretary of Delhi chief minister Arvind Kejriwal,1
1284, in a graft case,1
1285,BJP urges Governor Vidyasagar Rao to take a decision on basis of numbers as well as credibility. ,1
1286,Governor Vidayasagar Rao to meet new Legislature Party leader Edappadi K Palaniswami and others at 5.40pm.,0
1287,India caps prices -- Rs7,1
1288,260 for bare metal  Rs29,0
1289,600 for drug eluting-- in crackdown on wild markups. ,0
1290,Sasikala expels scores of rebels including minister K Pandiarajan and senior leader C Ponnaiyan from ,1
1291,AIADMK expels after Supreme Court ruling knocks out of CM race. ,1
1292,AIADMK expels after Supreme Court ruling knocks out of CM race. .1,1
1293,Supreme Court restores Bangalore trial court verdict holding and others in corruption case.,1
1294,BREAKING: Supreme Court convicts in disproportionate assets case ,1
1295,Mettur legislator Semmalai joins CM camp.,1
1296,Trump national security adviser Flynn resigns in controversy over Russian contacts ,1
1297,Mayawati plays divide-and-woo on home turf. UPElections ,1
1298,Why you could miss your flight out of Bangalore ,1
1299,Ashok Desai on as an accidental and a new book by Tirthankar Roy and Anand V. Swamy. ,0
1300,By noon,1
1301, Supreme Court will have decided future of and her rival ,1
1302,How Patna boy got to play the tabla. ,1
1303,Tehmina Janjua to be 1st woman foreign secretary. ,1
1304,Tamil Nadu waits,1
1305, Indian heft for Pope,1
1306, Modi in UP,1
1307, Pakistan's 1st woman foreign secy,1
1308, and more. Also in epaper. .42,0
1309,eases to 3.17 per cent in January from 3.41 per cent in December.,1
1310,7-judge SC bench to hear plea of Madras HC against Justice order staying his own transfer. Earlier: ,0
1311,Justice fails to appear before apex court to face contempt charges. ,1
1312,Non-teaching staff call for end to JNU stir,1
1313, VC says law will take its course if occupation of AdBlock doesnt end despi,1
1314,Calcutta HC judge C S Karnan fails to appear in SC in connection with suo motu contempt proceedings.,1
1315,BJP worker stabbed to death during local temple festivities at Mukkattukara in Kerala's district,1
1316,likely to hear PIL against swearing-in today ,1
1317,Delhi to airlift to if blockade is not lifted. ,1
1318,Use to track for preventing track deaths,1
1319, tells state. ,1
1320,Bonhomie between and strikes a chord on the ground. ,1
1321,India's to spike 3 initiatives for ,1
1322,Amit Roy on the clash between and ,1
1323,Some of its men have friends across border,1
